store_name,aliases,address,phone,days,open,close,notes,source_url
忠五店,台北忠五店;屈臣氏忠五店;忠五;忠五店門市;忠五店,台北市信義區忠孝東路五段494號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
吳興店,台北吳興店;屈臣氏吳興店;吳興;吳興店門市;吳興店,台北市信義區吳興街225號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
松二店,台北松二店;屈臣氏松二店;松二;松二店門市;松二店,台北市信義區松山路564號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
福德店,台北福德店;屈臣氏福德店;福德;福德店門市;福德店,台北市信義區福德街191號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
五分埔店,台北五分埔店;屈臣氏五分埔店;五分埔;五分埔店門市;五分埔店,台北市信義區松山路111號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
和平三店,台北和平三店;屈臣氏和平三店;和平三;和平三店門市;和平三店,台北市信義區和平東路三段433號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
光南店,台北光南店;屈臣氏光南店;光南;光南店門市;光南店,台北市信義區光復南路445-1號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
新中坡,台北新中坡;屈臣氏新中坡;新中坡店;新中坡門市;新中坡,台北市南港區忠孝東路五段974號1-2樓,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
昆陽店,台北昆陽店;屈臣氏昆陽店;昆陽;昆陽店門市;昆陽店,台北市南港區忠孝東路六段440號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
萬大店,台北萬大店;屈臣氏萬大店;萬大;萬大店門市;萬大店,台北市萬華區萬大路497號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
